Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency	Codepoint	UnicodeName
(ie)	h			x				
(ai)	h			x				
(?<!a)i 	h			x				
	́			́				
	̀			̀				
	̃			̃				
	-			-		143	U+002D	HYPHEN-MINUS
	ˀ			'	ˀ	1497	U+02C0	MODIFIER LETTER GLOTTAL STOP
	 			 		110	U+0020	SPACE
	\(			(		18	U+0028	LEFT PARENTHESIS
	\)			)		18	U+0029	RIGHT PARENTHESIS
	,			,		1	U+002C	COMMA
	\.			.		8	U+002E	FULL STOP
	:			:		395	U+003A	COLON
	\?			?		7	U+003F	QUESTION MARK
	\[			[		58	U+005B	LEFT SQUARE BRACKET
	\]			]		58	U+005D	RIGHT SQUARE BRACKET
	\ǃ			ǃ		1	U+01C3	LATIN LETTER RETROFLEX CLICK
	\+			+		13	U+002B	PLUS SIGN
	\·			·		58	U+00B7	MIDDLE DOT
	a			a		2595	U+0061	LATIN SMALL LETTER A
	A			A		12	U+0041	LATIN CAPITAL LETTER A
	á			á		121	U+0061, U+0301	LATIN SMALL LETTER A, COMBINING ACUTE ACCENT
	à			à		1	U+0061, U+0300	LATIN SMALL LETTER A, COMBINING GRAVE ACCENT
	ã			ã		851	U+0061, U+0303	LATIN SMALL LETTER A, COMBINING TILDE
	ã́			ã́		51	U+0061, U+0303, U+0301	LATIN SMALL LETTER A, COMBINING TILDE, COMBINING ACUTE ACCENT
	b			b		385	U+0062	LATIN SMALL LETTER B
	B			B		4	U+0042	LATIN CAPITAL LETTER B
	c			c		28	U+0063	LATIN SMALL LETTER C
	C			C		3	U+0043	LATIN CAPITAL LETTER C
	ɔ			O		11	U+0254	LATIN SMALL LETTER OPEN O
	ɔ̃			õ		3	U+0254, U+0303	LATIN SMALL LETTER OPEN O, COMBINING TILDE
	d			d		792	U+0064	LATIN SMALL LETTER D
	D			D		6	U+0044	LATIN CAPITAL LETTER D
	e			e		1723	U+0065	LATIN SMALL LETTER E
	E			E		1	U+0045	LATIN CAPITAL LETTER E
	é			é		35	U+0065, U+0301	LATIN SMALL LETTER E, COMBINING ACUTE ACCENT
	ẽ			ẽ		249	U+0065, U+0303	LATIN SMALL LETTER E, COMBINING TILDE
	ẽ́			ẽ́		13	U+0065, U+0303, U+0301	LATIN SMALL LETTER E, COMBINING TILDE, COMBINING ACUTE ACCENT
	ə			u̇		242	U+0259	LATIN SMALL LETTER SCHWA
	ə́			u̇́		30	U+0259, U+0301	LATIN SMALL LETTER SCHWA, COMBINING ACUTE ACCENT
	ə̃			u̇̃		51	U+0259, U+0303	LATIN SMALL LETTER SCHWA, COMBINING TILDE
	ə̃́			u̇̃́		8	U+0259, U+0303, U+0301	LATIN SMALL LETTER SCHWA, COMBINING TILDE, COMBINING ACUTE ACCENT
	f			f		4	U+0066	LATIN SMALL LETTER F
	g			g		1	U+0067	LATIN SMALL LETTER G
	h			h		960	U+0068	LATIN SMALL LETTER H
	H			H		2	U+0048	LATIN CAPITAL LETTER H
	i			i		1373	U+0069	LATIN SMALL LETTER I
	í			í		72	U+0069, U+0301	LATIN SMALL LETTER I, COMBINING ACUTE ACCENT
	ì			ì		2	U+0069, U+0300	LATIN SMALL LETTER I, COMBINING GRAVE ACCENT
	ĩ			ĩ		518	U+0069, U+0303	LATIN SMALL LETTER I, COMBINING TILDE
	ĩ́			ĩ́		30	U+0069, U+0303, U+0301	LATIN SMALL LETTER I, COMBINING TILDE, COMBINING ACUTE ACCENT
	ĩ̀			ĩ̀		1	U+0069, U+0303, U+0300	LATIN SMALL LETTER I, COMBINING TILDE, COMBINING GRAVE ACCENT
	j			j		14	U+006A	LATIN SMALL LETTER J
	k			k		1649	U+006B	LATIN SMALL LETTER K
	K			K		21	U+004B	LATIN CAPITAL LETTER K
	l			l		44	U+006C	LATIN SMALL LETTER L
	L			L		1	U+004C	LATIN CAPITAL LETTER L
	m			m		307	U+006D	LATIN SMALL LETTER M
	M			M		3	U+004D	LATIN CAPITAL LETTER M
	n			n		701	U+006E	LATIN SMALL LETTER N
	N			N		2	U+004E	LATIN CAPITAL LETTER N
	ñ			ñ		41	U+006E, U+0303	LATIN SMALL LETTER N, COMBINING TILDE
	o			o		1397	U+006F	LATIN SMALL LETTER O
	ó			ó		67	U+006F, U+0301	LATIN SMALL LETTER O, COMBINING ACUTE ACCENT
	ö			ö		1	U+006F, U+0308	LATIN SMALL LETTER O, COMBINING DIAERESIS
	õ			õ		557	U+006F, U+0303	LATIN SMALL LETTER O, COMBINING TILDE
	ṍ			ṍ		46	U+006F, U+0303, U+0301	LATIN SMALL LETTER O, COMBINING TILDE, COMBINING ACUTE ACCENT
	p			p		814	U+0070	LATIN SMALL LETTER P
	P			P		15	U+0050	LATIN CAPITAL LETTER P
	Q			Q		1	U+0051	LATIN CAPITAL LETTER Q
	r			r		351	U+0072	LATIN SMALL LETTER R
	s			s		9	U+0073	LATIN SMALL LETTER S
	S			S		1	U+0053	LATIN CAPITAL LETTER S
	t			t		146	U+0074	LATIN SMALL LETTER T
	u			u		978	U+0075	LATIN SMALL LETTER U
	ú			ú		83	U+0075, U+0301	LATIN SMALL LETTER U, COMBINING ACUTE ACCENT
	ù			ù		1	U+0075, U+0300	LATIN SMALL LETTER U, COMBINING GRAVE ACCENT
	ü			ü		1	U+0075, U+0308	LATIN SMALL LETTER U, COMBINING DIAERESIS
	ũ			ũ		440	U+0075, U+0303	LATIN SMALL LETTER U, COMBINING TILDE
	ṹ			ṹ		58	U+0075, U+0303, U+0301	LATIN SMALL LETTER U, COMBINING TILDE, COMBINING ACUTE ACCENT
	ũ̀			ũ̀		1	U+0075, U+0303, U+0300	LATIN SMALL LETTER U, COMBINING TILDE, COMBINING GRAVE ACCENT
	v			v		5	U+0076	LATIN SMALL LETTER V
	V			V		12	U+0056	LATIN CAPITAL LETTER V
	ṽ			ṽ		1	U+0076, U+0303	LATIN SMALL LETTER V, COMBINING TILDE
	Ṽ			Ṽ		1	U+0056, U+0303	LATIN CAPITAL LETTER V, COMBINING TILDE
	w			w		3	U+0077	LATIN SMALL LETTER W
	x			x		125	U+0078	LATIN SMALL LETTER X
	y			y		103	U+0079	LATIN SMALL LETTER Y
	z			z		1	U+007A	LATIN SMALL LETTER Z
