Left	Grapheme	Right	Class	Replacement	Frequency	Codepoint	UnicodeName
	-			-	62	U+002D	HYPHEN-MINUS
	̃			̃	1	U+0303	COMBINING TILDE
	ˀ			ˀ	4273	U+02C0	MODIFIER LETTER GLOTTAL STOP
	 			 	2178	U+0020	SPACE
	(			(	22	U+0028	LEFT PARENTHESIS
	)			)	22	U+0029	RIGHT PARENTHESIS
	,			,	1	U+002C	COMMA
	.			.	10	U+002E	FULL STOP
	/			/	2	U+002F	SOLIDUS
	:			:	995	U+003A	COLON
	;			;	18	U+003B	SEMICOLON
	?			?	25	U+003F	QUESTION MARK
	[			[	64	U+005B	LEFT SQUARE BRACKET
	]			]	64	U+005D	RIGHT SQUARE BRACKET
	ǃ			ǃ	1	U+01C3	LATIN LETTER RETROFLEX CLICK
	+			+	1	U+002B	PLUS SIGN
	·			·	17	U+00B7	MIDDLE DOT
	1			1	1	U+0031	DIGIT ONE
	a			a	9560	U+0061	LATIN SMALL LETTER A
	A			A	6	U+0041	LATIN CAPITAL LETTER A
	á			á	288	U+0061, U+0301	LATIN SMALL LETTER A, COMBINING ACUTE ACCENT
	Á			Á	1	U+0041, U+0301	LATIN CAPITAL LETTER A, COMBINING ACUTE ACCENT
	à			à	5	U+0061, U+0300	LATIN SMALL LETTER A, COMBINING GRAVE ACCENT
	ã			ã	2248	U+0061, U+0303	LATIN SMALL LETTER A, COMBINING TILDE
	ã			ã	4	U+00E3	LATIN SMALL LETTER A WITH TILDE
	Ã			Ã	2	U+0041, U+0303	LATIN CAPITAL LETTER A, COMBINING TILDE
	ã́			ã́	96	U+0061, U+0303, U+0301	LATIN SMALL LETTER A, COMBINING TILDE, COMBINING ACUTE ACCENT
	a̱			a̱	1	U+0061, U+0331	LATIN SMALL LETTER A, COMBINING MACRON BELOW
	b			b	1370	U+0062	LATIN SMALL LETTER B
	B			B	3	U+0042	LATIN CAPITAL LETTER B
	c			c	68	U+0063	LATIN SMALL LETTER C
	ɔ			ɔ	10	U+0254	LATIN SMALL LETTER OPEN O
	ɔ́			ɔ́	3	U+0254, U+0301	LATIN SMALL LETTER OPEN O, COMBINING ACUTE ACCENT
	ɔ̃			ɔ̃	7	U+0254, U+0303	LATIN SMALL LETTER OPEN O, COMBINING TILDE
	ɔ̃́			ɔ̃́	1	U+0254, U+0303, U+0301	LATIN SMALL LETTER OPEN O, COMBINING TILDE, COMBINING ACUTE ACCENT
	d			d	2219	U+0064	LATIN SMALL LETTER D
	D			D	3	U+0044	LATIN CAPITAL LETTER D
	e			e	3689	U+0065	LATIN SMALL LETTER E
	E			E	11	U+0045	LATIN CAPITAL LETTER E
	é			é	96	U+0065, U+0301	LATIN SMALL LETTER E, COMBINING ACUTE ACCENT
	è			è	3	U+0065, U+0300	LATIN SMALL LETTER E, COMBINING GRAVE ACCENT
	ẽ			ẽ	523	U+0065, U+0303	LATIN SMALL LETTER E, COMBINING TILDE
	ẽ́			ẽ́	49	U+0065, U+0303, U+0301	LATIN SMALL LETTER E, COMBINING TILDE, COMBINING ACUTE ACCENT
	ə			ə	538	U+0259	LATIN SMALL LETTER SCHWA
	ə́			ə́	79	U+0259, U+0301	LATIN SMALL LETTER SCHWA, COMBINING ACUTE ACCENT
	ə̃			ə̃	106	U+0259, U+0303	LATIN SMALL LETTER SCHWA, COMBINING TILDE
	ə̃́			ə̃́	15	U+0259, U+0303, U+0301	LATIN SMALL LETTER SCHWA, COMBINING TILDE, COMBINING ACUTE ACCENT
	ə̠́			ə̠́	1	U+0259, U+0320, U+0301	LATIN SMALL LETTER SCHWA, COMBINING MINUS SIGN BELOW, COMBINING ACUTE ACCENT
	g			g	1	U+0067	LATIN SMALL LETTER G
	h			h	2729	U+0068	LATIN SMALL LETTER H
	H			H	3	U+0048	LATIN CAPITAL LETTER H
	i			i	5231	U+0069	LATIN SMALL LETTER I
	I			I	2	U+0049	LATIN CAPITAL LETTER I
	í			í	241	U+0069, U+0301	LATIN SMALL LETTER I, COMBINING ACUTE ACCENT
	Í			Í	2	U+0049, U+0301	LATIN CAPITAL LETTER I, COMBINING ACUTE ACCENT
	ì			ì	2	U+0069, U+0300	LATIN SMALL LETTER I, COMBINING GRAVE ACCENT
	ĩ			ĩ	1162	U+0069, U+0303	LATIN SMALL LETTER I, COMBINING TILDE
	Ĩ			Ĩ	1	U+0049, U+0303	LATIN CAPITAL LETTER I, COMBINING TILDE
	ĩ́			ĩ́	74	U+0069, U+0303, U+0301	LATIN SMALL LETTER I, COMBINING TILDE, COMBINING ACUTE ACCENT
	Ĩ́			Ĩ́	1	U+0049, U+0303, U+0301	LATIN CAPITAL LETTER I, COMBINING TILDE, COMBINING ACUTE ACCENT
	j			j	26	U+006A	LATIN SMALL LETTER J
	k			k	6020	U+006B	LATIN SMALL LETTER K
	K			K	39	U+004B	LATIN CAPITAL LETTER K
	l			l	23	U+006C	LATIN SMALL LETTER L
	m			m	731	U+006D	LATIN SMALL LETTER M
	M			M	5	U+004D	LATIN CAPITAL LETTER M
	n			n	1562	U+006E	LATIN SMALL LETTER N
	ṅ			ṅ	1	U+006E, U+0307	LATIN SMALL LETTER N, COMBINING DOT ABOVE
	ñ			ñ	51	U+006E, U+0303	LATIN SMALL LETTER N, COMBINING TILDE
	ñ			ñ	1	U+00F1	LATIN SMALL LETTER N WITH TILDE
	Ñ			Ñ	1	U+004E, U+0303	LATIN CAPITAL LETTER N, COMBINING TILDE
	o			o	4024	U+006F	LATIN SMALL LETTER O
	O			O	2	U+004F	LATIN CAPITAL LETTER O
	ó			ó	159	U+006F, U+0301	LATIN SMALL LETTER O, COMBINING ACUTE ACCENT
	Ó			Ó	2	U+004F, U+0301	LATIN CAPITAL LETTER O, COMBINING ACUTE ACCENT
	ò			ò	5	U+006F, U+0300	LATIN SMALL LETTER O, COMBINING GRAVE ACCENT
	ö			ö	3	U+006F, U+0308	LATIN SMALL LETTER O, COMBINING DIAERESIS
	õ			õ	1175	U+006F, U+0303	LATIN SMALL LETTER O, COMBINING TILDE
	Õ			Õ	1	U+004F, U+0303	LATIN CAPITAL LETTER O, COMBINING TILDE
	ṍ			ṍ	67	U+006F, U+0303, U+0301	LATIN SMALL LETTER O, COMBINING TILDE, COMBINING ACUTE ACCENT
	õ̃			õ̃	1	U+006F, U+0303, U+0303	LATIN SMALL LETTER O, COMBINING TILDE, COMBINING TILDE
	p			p	2538	U+0070	LATIN SMALL LETTER P
	P			P	1	U+0050	LATIN CAPITAL LETTER P
	r			r	642	U+0072	LATIN SMALL LETTER R
	R			R	1	U+0052	LATIN CAPITAL LETTER R
	S			S	1	U+0053	LATIN CAPITAL LETTER S
	t			t	278	U+0074	LATIN SMALL LETTER T
	u			u	2651	U+0075	LATIN SMALL LETTER U
	U			U	5	U+0055	LATIN CAPITAL LETTER U
	ú			ú	179	U+0075, U+0301	LATIN SMALL LETTER U, COMBINING ACUTE ACCENT
	ũ			ũ	924	U+0075, U+0303	LATIN SMALL LETTER U, COMBINING TILDE
	ṹ			ṹ	108	U+0075, U+0303, U+0301	LATIN SMALL LETTER U, COMBINING TILDE, COMBINING ACUTE ACCENT
	ũ̀			ũ̀	1	U+0075, U+0303, U+0300	LATIN SMALL LETTER U, COMBINING TILDE, COMBINING GRAVE ACCENT
	w			w	1	U+0077	LATIN SMALL LETTER W
	x			x	450	U+0078	LATIN SMALL LETTER X
	X			X	1	U+0058	LATIN CAPITAL LETTER X
	y			y	347	U+0079	LATIN SMALL LETTER Y
	Y			Y	1	U+0059	LATIN CAPITAL LETTER Y
